id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
4lOwCvuSv7ickecVE7dUBk,4lienetic,30,"['chillstep', 'indian ambient', 'substep']",9330,chillstep,indian ambient,substep,,,NA,NA
7CINZTW4RTKs0n2fAvIoqq,Xtha,30,['pixel'],8154,pixel,,,,,NA,NA
2kUUaHnVe0rRarZqRZgHEY,Sharon Redd,30,"['boogie', 'disco', 'post-disco']",31084,boogie,disco,post-disco,,,NA,NA
1w2bfb8QyKJRAJkvHILWVg,裘海正,30,['classic mandopop'],5725,classic mandopop,,,,,NA,NA
2izm16Jd9ifkaqR5fxzlTK,Dorinda Clark-Cole,30,['gospel'],115848,gospel,,,,,NA,NA
2LOTVIYY3MUcBzUPyy8kzw,The Hipster Orchestra,30,['classify'],18028,classify,,,,,NA,NA
4kRrzJmZYK395DI4VdSmAo,Los Santaneros,30,['chicano rap'],10022,chicano rap,,,,,NA,NA
1YNEZ3IgmO0py6wekmwMxE,Derek Warfield,30,"['irish folk', 'irish rebel song']",8664,irish folk,irish rebel song,,,,NA,NA
6AoVAVoJmW1VsrcTQ63Til,Segun Akinola,31,['orchestral soundtrack'],3870,orchestral soundtrack,,,,,NA,NA
3kGhAL9j1WyNjNkWTRQd8T,Atlas Sound,31,"['atlanta indie', 'chamber pop', 'chillwave', 'indie rock', 'indietronica', 'modern dream pop', 'noise pop']",108393,atlanta indie,chamber pop,chillwave,indie rock,indietronica,NA,NA
7FufRSScdhlfHyTz0aFsTc,Amanda Fagan,31,['pixel'],22598,pixel,,,,,NA,NA
0hGzB35FiKuH87AIIHwrVb,Marvin Sease,31,"['southern soul', 'southern soul blues']",106853,southern soul,southern soul blues,,,,NA,NA
3bIAUCN08OjlkGrqRjJDji,Playa,31,['contemporary r&b'],55756,contemporary r&b,,,,,NA,NA
0XKPHX4BZDrtSEr3Pd1Q4k,Karen Elson,31,['british singer-songwriter'],31841,british singer-songwriter,,,,,NA,NA
7tycJ8FDKH2GES20CnUa4D,GT Garza,31,"['chicano rap', 'houston rap', 'texas latin rap']",20727,chicano rap,houston rap,texas latin rap,,,NA,NA
5LEK1kaklDfReP092sVvGd,Bruno Pernadas,31,['portuguese indie'],43128,portuguese indie,,,,,NA,NA
3TUYqYNCqgqeqkBZVyxEi6,The Louvin Brothers,31,"['appalachian folk', 'bluegrass', 'country gospel', 'traditional folk', 'western swing']",33268,appalachian folk,bluegrass,country gospel,traditional folk,western swing,NA,NA
0HEAqFUled7OyqMxEATI1Q,Eddie Rath,31,['anime rap'],6752,anime rap,,,,,NA,NA
0HrOhPmbqaxsuRlfJ5SExg,American Pleasure Club,31,"['lo-fi indie', 'small room']",36771,lo-fi indie,small room,,,,NA,NA
33itzdcS4y00FCGR23sleH,Mioko Yamaguchi,31,"['classic city pop', 'japanese new wave', 'techno kayo']",6754,classic city pop,japanese new wave,techno kayo,,,NA,NA
1owt6WYWjy94FlqNcj1x4U,Chamras Saewataporn,31,['thai instrumental'],2842,thai instrumental,,,,,NA,NA
68EkPt5iRraARf9QgW093I,The Travelin' McCourys,31,"['bluegrass', 'jamgrass', 'progressive bluegrass']",16365,bluegrass,jamgrass,progressive bluegrass,,,NA,NA
